LOCAL SERACHER, LOCAL NODES
 Attempt    Nodes    Edges Distance          Time         TTime
       3      500      500       -1          9420         52753
       4      500      500       -1           373          1371
       5      500      500       -1           396           235
       6      500      500       -1           180           230
       7      500      500       -1           475           462
       8      500      500       -1           267           433
       9      500      500       -1          1613          6619
      10      500      500       -1           418           230
      11      500     1000       -1           346           647
      12      500     1000       11         33849        336170
      13      500     1000        4          3792          4981
      14      500     1000        5          4146         69884
      15      500     1000       -1         38389        699890
      16      500     1000       -1           516          3466
      17      500     1000       12         35216        317832
      18      500     1000       -1         37259        590804
      19      500     1000        7          8970         41920
      20      500     1000       -1           357           691
      21      500     1500        5          8865        339647
      22      500     1500       -1         50172       2267059
      23      500     1500        8         48014        808627
      24      500     1500        6         16369        300146
      25      500     1500        5         13102        668485
      26      500     1500        7         25482        188452
      27      500     1500        6         21058        377522
      28      500     1500        7         38023        407012
      29      500     1500        6         28226        645298
      30      500     1500        6         32007        717304
      31      500     2000        6         48929       2266582
      32      500     2000        5         38041       3527670
      33      500     2000        6         50695       3157004
      34      500     2000        4         12845         14670
      35      500     2000        6         25325        734141
      36      500     2000        5         22881       2065427
      37      500     2000        5         33186       3227191
      38      500     2000       -1         54576       5286587
      39      500     2000        5          6480        639726
      40      500     2000        4         10099         11415
      41      500     2500        6         39347       1946562
      42      500     2500        4          7550          9015
      43      500     2500        5         34997       5364975
      44      500     2500        2           468          8449
      45      500     2500        4         21717         23795
      46      500     2500        4         25951         28324
      47      500     2500        4         12988         15357
      48      500     2500        4         23489         26247
      49      500     2500        2           933         21995
      50      500     2500        3          3678         18415
      51      500     3000        4         23078         25696
      52      500     3000        4         13059         16316
      53      500     3000        3          3758         20149
      54      500     3000        4         17006         19893
      55      500     3000        4         19592         21969
      56      500     3000        3          3996         23211
      57      500     3000        2          1460         34946
      58      500     3000        4         28016         30811
      59      500     3000        4         34488         37057
      60      500     3000        3          4097         25759
      61      500     3500        3         10732         47056
      62      500     3500        4         27895         30475
      63      500     3500        2          1374         45089
      64      500     3500        4         50378         52820
      65      500     3500        4         36609         39447
      66      500     3500        2          1349         42755
      67      500     3500        4         25260         28284
      68      500     3500        3          9668         45404
      69      500     3500        4         38041         41746
      70      500     3500        4         40061         43161
      71      500     4000        4         49807         52414
      72      500     4000        3         10582         50542
      73      500     4000        3          6529         38298
      74      500     4000        4         48371         52355
      75      500     4000        3         14042         57357
      76      500     4000        3          9174         49809
      77      500     4000        4         50612         54277
      78      500     4000        3         13270         56800
      79      500     4000        3         10903         53462
      80      500     4000        3          4621         27080
      81      500     4500        3         11702         59620
      82      500     4500        4         30777         35076
      83      500     4500        2          1269         56075
      84      500     4500        5         71500      29549582
      85      500     4500        4         55450         59408
      86      500     4500        3         17380         65938
      87      500     4500        3         17921         64618
      88      500     4500        4         56941         59383
      89      500     4500        3         12870        199429
      90      500     4500        3         10422         52488
      91      500     5000        3         21072         69895
      92      500     5000        2          2170         70711
      93      500     5000        3         13848         65237
      94      500     5000        3         12665         65148
      95      500     5000        4         59707         62935
      96      500     5000        2          1401         59475
      97      500     5000        4         71154         74209
      98      500     5000        3         20438         74986
      99      500     5000        3         12171         64635
     100      500     5000        3         14834         66269
     101      500     5500        3        112700         77388
     102      500     5500        3         18287         72080
     103      500     5500        3         21321         75159
     104      500     5500        2          2378         73648
     105      500     5500        3         17496         71695
     106      500     5500        3         14290         71344
     107      500     5500        4         72664         75813
     108      500     5500        3         15410         69341
     109      500     5500        3         14881         70192
     110      500     5500        3         16175         74238
     111      500     6000        3         21319         80832
     112      500     6000        3         31089         84872
     113      500     6000        3         14612         72015
     114      500     6000        4         69351        203321
     115      500     6000        4         62326         62529
     116      500     6000        2          2076         76571
     117      500     6000        3         16676         73828
     118      500     6000        2          2074         75569
     119      500     6000        3         20586         77367
     120      500     6000        2          2603         78974
     121      500     6500        2          4342         89138
     122      500     6500        3         22598         83404
     123      500     6500        3         24871         83675
     124      500     6500        3         26241         86493
     125      500     6500        4         81479         87456
     126      500     6500        3         25529         86292
     127      500     6500        3         20690         84681
     128      500     6500        3        470325         81729
     129      500     6500        3         23168         79940
     130      500     6500        3         34802         82835
     131      500     7000        2          3883         89979
     132      500     7000        3         25661         88378
     133      500     7000        3         43332         88462
     134      500     7000        2          2949         89989
     135      500     7000        2          2101         86741
     136      500     7000        2          3173         88240
     137      500     7000        2          2133         87379
     138      500     7000        2          4285         90838
     139      500     7000        3         26172         88464
     140      500     7000        3         26069        206084
     141      500     7500        3         37929         92017
     142      500     7500        2          3188         91776
     143      500     7500        3         33348         92312
     144      500     7500        1           323         92258
     145      500     7500        3         27091         91192
     146      500     7500        3         39065         92232
     147      500     7500        3         17657         86800
     148      500     7500        3         29731         92121
     149      500     7500        2          1652         89542
     150      500     7500        3         36808         93961
     151      500     8000        3         49775         94496
     152      500     8000        3         29968         94480
     153      500     8000        3         44410         94975
     154      500     8000        3         22964         93666
     155      500     8000        2          3295         94871
     156      500     8000        2          4062         94434
     157      500     8000        2          4028         94655
     158      500     8000        3         40782         96237
     159      500     8000        3         30961         95412
     160      500     8000        2          4204         95410
     161      500     8500        3         35279         97931
     162      500     8500        3         42539         96058
     163      500     8500        2          4490         96750
     164      500     8500        1           282         97750
     165      500     8500        3         33181        105067
     166      500     8500        3         35360        101652
     167      500     8500        2          2345         97352
     168      500     8500        3         26883         97121
     169      500     8500        2          4400         97564
     170      500     8500        2          4110         97309
     171      500     9000        3         48286         99527
     172      500     9000        1           310         98797
     173      500     9000        3         47713         98901
     174      500     9000        2          2552        100122
     175      500     9000        3         45502         99060
     176      500     9000        2          3481        100912
     177      500     9000        3         52013        100647
     178      500     9000        3         44564         98614
     179      500     9000        2          4215         98972
     180      500     9000        2          3676         99760
     181      500     9500        3         55184        102753
     182      500     9500        2          3556        101508
     183      500     9500        3         63030        101606
     184      500     9500        3         49333        101770
     185      500     9500        2          4282        102641
     186      500     9500        2          4908        101806
     187      500     9500        3         58717        102276
     188      500     9500        2          2969        102282
     189      500     9500        3         53646        101983
     190      500     9500        3         61701        103431
